gpu,input_len,output_len,batch_size,end_to_end_latency,tokens_per_second,usd_per_hr,tokens_per_hr,cost_per1M_token
8xH100 1FP8-meta,128,2048,4,71.27394036,122.1203704,23.92,439633.3334,54.40897716
8xH100 1FP8-meta,128,2048,8,75.05596489,231.9335981,23.92,834960.9532,28.64804625
8xH100 1FP8-meta,128,2048,16,75.82455635,459.1652319,23.92,1652994.835,14.47070462
8xH100 1FP8-meta,128,2048,32,78.37005056,888.5026806,23.92,3198609.65,7.478249182
8xH100 1FP8-meta,128,2048,64,123.1509682,1130.839668,23.92,4071022.805,5.875673301
8xH100 1FP8-meta,128,2048,128,214.67,1297.443,23.92,4670794.8,5.121184086
8xH100 1FP8-meta,128,2048,256,399.64,1393.8654,23.92,5017915.44,4.766919707
8xMi300x 1FP8-meta,128,2048,4,279.115799,31.1841897,36,112263.0829,320.6753196
8xMi300x 1FP8-meta,128,2048,8,287.809995,60.4843484,36,217743.6542,165.3320283
8xMi300x 1FP8-meta,128,2048,16,290.992608,119.645651,36,430724.3436,83.58013782
8xMi300x 1FP8-meta,128,2048,32,293.69183,237.092056,36,853531.4016,42.17771008
8xMi300x 1FP8-meta,128,2048,64,307.312373,453.167565,36,1631403.234,22.06689263
8xMi300x 1FP8-meta,128,2048,128,340.863436,817.124897,36,2941649.629,12.23803122
8xMi300x 1FP8-meta,128,2048,256,438.203916,1271.22552,36,4576411.872,7.866424834
8xMi300x 1FP8-amd,128,2048,4,67.79069331,128.3952055,36,462222.7398,77.88452817
8xMi300x 1FP8-amd,128,2048,8,68.69831185,253.3977842,36,912232.0231,39.46364421
8xMi300x 1FP8-amd,128,2048,16,73.0668384,476.4952304,36,1715382.829,20.98656894
8xMi300x 1FP8-amd,128,2048,32,81.6235981,853.0866271,36,3071111.858,11.72213897
8xMi300x 1FP8-amd,128,2048,64,99.36810183,1401.496028,36,5045385.701,7.135232495
8xMi300x 1FP8-amd,128,2048,128,131.6356226,2115.901414,36,7617245.09,4.726118114
8xMi300x 1FP8-amd,128,2048,256,227.2880827,2450.880809,36,8823170.912,4.080165777
4xMi300x 1FP8-amd,128,2048,4,94.17381532,92.42484198,18,332729.4311,54.09800972
4xMi300x 1FP8-amd,128,2048,8,97.83940387,177.9242239,18,640527.206,28.10185084
4xMi300x 1FP8-amd,128,2048,16,101.5019775,343.0080957,18,1234829.145,14.57691542
4xMi300x 1FP8-amd,128,2048,32,113.7299072,612.2575997,18,2204127.359,8.166497243
4xMi300x 1FP8-amd,128,2048,64,136.9388266,1016.979651,18,3661126.744,4.91651922
4xMi300x 1FP8-amd,128,2048,128,195.5264158,1424.503174,18,5128211.426,3.509995689
4xMi300x 1FP8-amd,128,2048,256,431.6155709,1290.62999,18,4646267.964,3.874077031
8xMi300x 2FP8-amd,128,2048,4,94.17381532,184.849684,36,665458.8623,54.09800972
8xMi300x 2FP8-amd,128,2048,8,97.83940387,355.8484478,36,1281054.412,28.10185084
8xMi300x 2FP8-amd,128,2048,16,101.5019775,686.0161914,36,2469658.289,14.57691542
8xMi300x 2FP8-amd,128,2048,32,113.7299072,1224.515199,36,4408254.718,8.166497243
8xMi300x 2FP8-amd,128,2048,64,136.9388266,2033.959302,36,7322253.487,4.91651922
8xMi300x 2FP8-amd,128,2048,128,195.5264158,2849.006348,36,10256422.85,3.509995689
8xMi300x 2FP8-amd,128,2048,256,431.6155709,2581.25998,36,9292535.928,3.874077031
8xH100 1FP8-meta,2048,2048,4,73.04,224.3991082,23.92,807836.7895,29.6099414
8xH100 1FP8-meta,2048,2048,8,78.6,416.0803779,23.92,1497889.36,15.96913673
8xH100 1FP8-meta,2048,2048,16,84.22,781.5082372,23.92,2813429.654,8.502078581
8xH100 1FP8-meta,2048,2048,32,144.09,911.1295814,23.92,3280066.493,7.292535091
8xH100 1FP8-meta,2048,2048,64,262.68,998.7796751,23.92,3595606.83,6.652562732
8xH100 1FP8-meta,2048,2048,128,474.87,1105.487042,23.92,3979753.351,6.01042273
8xH100 1FP8-meta,2048,2048,256,879.73,1196.34,23.92,4306824,5.553976666
8xMi300x 1FP8-meta,2048,2048,4,266.06,58.34189395,36,210030.8182,171.4034174
8xMi300x 1FP8-meta,2048,2048,8,274.47,111.8647335,36,402713.0406,89.3936783
8xMi300x 1FP8-meta,2048,2048,16,284.33,218.6357561,36,787088.722,45.73817283
8xMi300x 1FP8-meta,2048,2048,32,299.45,418.4837956,36,1506541.664,23.89578785
8xMi300x 1FP8-meta,2048,2048,64,341.75,741.1052995,36,2667979.078,13.49335918
8xMi300x 1FP8-meta,2048,2048,128,419.36,1216.741493,36,4380269.375,8.218672625
8xMi300x 1FP8-meta,2048,2048,256,611.82,1705.140233,36,6138504.839,5.864620285
8xMi300x 1FP8-amd ,2048,2048,4,68.37971305,239.6032283,36,862571.6219,41.73566471
8xMi300x 1FP8-amd ,2048,2048,8,70.53868689,464.5394101,36,1672341.876,21.52669888
8xMi300x 1FP8-amd ,2048,2048,16,78.69783408,832.7548117,36,2997917.322,12.0083365
8xMi300x 1FP8-amd ,2048,2048,32,96.35701944,1360.274537,36,4896988.333,7.351457171
8xMi300x 1FP8-amd ,2048,2048,64,125.3573432,2091.173866,36,7528225.918,4.782003143
8xMi300x 1FP8-amd ,2048,2048,128,186.8320667,2806.199221,36,10102317.2,3.56353887
8xMi300x 1FP8-amd ,2048,2048,256,334.4946058,3134.806905,36,11285304.86,3.189989145
4xMi300x 1FP8-amd,2048,2048,4,97.15577103,168.6364055,18,607091.0598,29.64958833
4xMi300x 1FP8-amd,2048,2048,8,103.1994496,317.5210734,18,1143075.864,15.74698632
4xMi300x 1FP8-amd,2048,2048,16,114.7069595,571.3341223,18,2056802.84,8.751446491
4xMi300x 1FP8-amd,2048,2048,32,138.4119717,946.9701092,18,3409092.393,5.279997702
4xMi300x 1FP8-amd,2048,2048,64,185.5635483,1412.691245,18,5085688.482,3.5393438
4xMi300x 1FP8-amd,2048,2048,128,442.6162474,1184.520458,18,4264273.649,4.221117471
4xMi300x 1FP8-amd,2048,2048,256,790.0569983,1327.215634,18,4777976.282,3.767285339
8xMi300x 2FP8-amd,2048,2048,4,97.15577103,337.272811,36,1214182.12,29.64958833
8xMi300x 2FP8-amd,2048,2048,8,103.1994496,635.0421468,36,2286151.728,15.74698632
8xMi300x 2FP8-amd,2048,2048,16,114.7069595,1142.668245,36,4113605.681,8.751446491
8xMi300x 2FP8-amd,2048,2048,32,138.4119717,1893.940218,36,6818184.786,5.279997702
8xMi300x 2FP8-amd,2048,2048,64,185.5635483,2825.38249,36,10171376.96,3.5393438
8xMi300x 2FP8-amd,2048,2048,128,442.6162474,2369.040916,36,8528547.298,4.221117471
8xMi300x 2FP8-amd,2048,2048,256,790.0569983,2654.431268,36,9555952.565,3.767285339
8xH100 1FP8-meta,32784,2048,4,236.1237305,590.0635218,23.92,2124228.678,11.26055789
8xH100 1FP8-meta,32784,2048,8,457.6965823,608.8225492,23.92,2191761.177,10.91359782
8xH100 1FP8-meta,32784,2048,16,866.9613514,642.8337308,23.92,2314201.431,10.3361789
8xMi300x 1FP8-meta,32784,2048,4,376.392776,370.1665092,36,1332599.433,27.01486966
8xMi300x 1FP8-meta,32784,2048,8,477.3153248,583.7985615,36,2101674.821,17.12919603
8xMi300x 1FP8-meta,32784,2048,16,673.9836962,826.8924058,36,2976812.661,12.09347181
8xMi300x 1FP8-meta,32784,2048,32,1186.617763,939.3285983,36,3381582.954,10.64590178
8xMi300x 1FP8-meta,32784,2048,64,2375.957974,938.2522858,36,3377708.229,10.65811419
8xMi300x 1FP8-amd,32784,2048,4,129.3197857,1077.391207,36,3878608.345,9.281679612
8xMi300x 1FP8-amd,32784,2048,8,158.0476773,1763.113542,36,6347208.751,5.671784466
8xMi300x 1FP8-amd,32784,2048,16,223.162426,2497.33797,36,8990416.692,4.004263788
8xMi300x 1FP8-amd,32784,2048,32,353.0339651,3157.271284,36,11366176.62,3.167291975
8xMi300x 1FP8-amd,32784,2048,64,720.3670517,3094.600169,36,11140560.61,3.231435227
4xMi300x 1FP8-amd,32784,2048,4,158.1494814,880.9892944,18,3171561.46,5.675437865
4xMi300x 1FP8-amd,32784,2048,8,262.4562405,1061.723659,18,3822205.172,4.709323333
4xMi300x 1FP8-amd,32784,2048,16,523.8995579,1063.776427,18,3829595.137,4.700235757
4xMi300x 1FP8-amd,32784,2048,32,1048.253293,1063.315524,18,3827935.886,4.702273114
4xMi300x 1FP8-amd,32784,2048,64,2000.700276,1114.233864,18,4011241.91,4.487388296
8xMi300x 2FP8-amd,32784,2048,4,158.1494814,1761.978589,36,6343122.92,5.675437865
8xMi300x 2FP8-amd,32784,2048,8,262.4562405,2123.447318,36,7644410.345,4.709323333
8xMi300x 2FP8-amd,32784,2048,16,523.8995579,2127.552854,36,7659190.274,4.700235757
8xMi300x 2FP8-amd,32784,2048,32,1048.253293,2126.631048,36,7655871.773,4.702273114
8xMi300x 2FP8-amd,32784,2048,64,2000.700276,2228.467728,36,8022483.821,4.487388296